part;var;de;en
msg;title;Titel;Title
msg;type;Typ;Type
msg;type_during_event;Typ während Event;Type during Event
msg;type_1;Info;Info
msg;type_2;Warnung;Warning
msg;type_3;Wichtig;Important
msg;event_start;Start Event;Event start
msg;event_end;Event Ende;Event end
msg;display_start;Anzeige Start;Display start
msg;display_end;Anzeige Ende;Display end
msg;permanent;Anzeige;Display
msg;permanent_no;Temporär anzeigen;Show temporary
msg;permanent_yes;Permanent anzeigen;Show permanent
msg;prevent_login;Login verhindern;Prevent Login
msg;additional_classes;Weitere CSS-Klassen;Additional CSS-Classes
msg;allowed_users;zugelassene Benutzer-IDs (kommasepariert);Allowed User-IDs (comma-separated)
common;actions;Aktionen;Actions
common;add_msg;Nachricht hinzufügen;Add message
msg;table_title;Nachrichten;Messages
msg;body;Text;Body
msg;event_date;Zeitpunkt Event;Event date
msg;display_date;Dauer Anzeige;Duration display
msg_form;button_save;Speichern;Save
msg_form;button_update;Speichern;Update
msg_form;button_cancel;Abbrechen;Cancel
msg_form;button_delete;Löschen;Delete
msg_form;title;Nachricht erfassen;Compose message
msg;success;Angewendet;Success
